,gene,expr,reptime,hic,N_nonsilent,N_silent,N_noncoding,n_nonsilent,n_silent,n_noncoding,nnei,x,X,p,q,feature
208,CBFB,1068656.0,125.0,48.0,74970,20402,13613552,12,0,33,5,63,29305433,0.0,0.0,Breast-AdenoCA
209,CDH1,924096.0,240.0,30.0,384980,118489,18297319,7,0,41,2,55,22842467,0.0,0.0,Breast-AdenoCA
210,GATA3,182932.0,675.0,-2.0,180370,57084,3664794,21,1,15,4,122,29308928,0.0,0.0,Breast-AdenoCA
211,MAP2K4,45834.0,583.0,-52.0,175716,47861,22955408,6,0,45,0,45,22955408,0.0,0.0,Breast-AdenoCA
212,MAP3K1,200595.0,412.0,38.0,640368,190495,14548188,21,0,24,0,24,14548188,0.0,0.0,Breast-AdenoCA
213,PIK3CA,401889.0,613.0,11.0,486827,128216,16929560,58,1,45,1,45,17337402,0.0,0.0,Breast-AdenoCA
214,PTEN,259678.0,300.0,34.0,183457,45429,20323634,11,0,39,5,75,34446599,0.0,0.0,Breast-AdenoCA
215,XIRP2,7405.0,1014.0,-18.0,444900,111810,69260023,11,2,209,9,635,213365800,0.0,0.0,Breast-AdenoCA
216,TP53,2069567.0,213.0,34.0,171398,52544,3388765,105,0,11,0,11,3388765,7.771561e-16,1.6600919999999998e-12,Breast-AdenoCA
217,KMT2C,,,,2221554,645566,54875310,15,1,90,1,92,55807084,2.831661e-06,0.005443867,Breast-AdenoCA
218,PIK3R1,48999.0,619.0,32.0,328760,88548,16010075,5,0,35,0,35,16010075,3.746981e-05,0.06548701,Breast-AdenoCA
219,CEBPA,355217.0,510.0,-9.0,158237,54195,249916,3,0,0,26,274,249662023,0.0,0.0,Prost-AdenoCA
220,CHD8,710667.0,380.0,34.0,1188241,346733,12447685,5,0,5,7,26,59082079,0.0,0.0,Prost-AdenoCA
221,MMGT1,253719.0,,20.0,59103,19104,2308599,2,1,0,7,64,67122767,0.0,0.0,Prost-AdenoCA
222,PTEN,259678.0,300.0,34.0,190855,47299,21115084,10,0,20,2,20,23076428,0.0,0.0,Prost-AdenoCA
223,SETD2,593886.0,365.0,46.0,1189031,331426,27660952,7,0,25,7,43,51177639,0.0,0.0,Prost-AdenoCA
224,SPOP,943930.0,348.0,28.0,173847,47173,15526597,14,0,16,14,99,114762038,0.0,0.0,Prost-AdenoCA
225,TP53,2069567.0,213.0,34.0,178394,54749,3536721,17,0,10,0,10,3536721,7.688905e-11,2.111703e-07,Prost-AdenoCA
